"Source","SourceLabels","Relation","Target","TargetLabels"
"间插血吸虫病","Disease","complication","食管","Complication"
"食管","Complication","complication","间插血吸虫病","Disease"
"糖尿病性胃轻瘫","Disease","complication","食管","Complication"
"食管","Complication","complication","糖尿病性胃轻瘫","Disease"
"糖尿病性胃轻瘫","Disease","complication","食管炎","Disease"
"食管炎","Disease","complication","糖尿病性胃轻瘫","Disease"
"糖尿病性胃轻瘫","Disease","complication","反流食管炎","Disease"
"反流食管炎","Disease","complication","糖尿病性胃轻瘫","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","肝硬化","Disease"
"肝硬化","Disease","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","意识丧失","Symptom"
"意识丧失","Symptom","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","食管胃底静脉曲张","Disease"
"食管胃底静脉曲张","Disease","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","硬化","Symptom"
"硬化","Symptom","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","食管","Complication"
"食管","Complication","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","烦躁不安","Symptom"
"烦躁不安","Symptom","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","出血","Disease"
"出血","Disease","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","脑病","Disease"
"脑病","Disease","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","血压下降","Complication"
"血压下降","Complication","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","黑便","Complication"
"黑便","Complication","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","呕血","Symptom"
"呕血","Symptom","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","缺氧","Complication"
"缺氧","Complication","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","肝性脑病","Disease"
"肝性脑病","Disease","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","胃病","Disease"
"胃病","Disease","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","淡漠","Complication"
"淡漠","Complication","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","烦躁","Complication"
"烦躁","Complication","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","静脉曲张","Disease"
"静脉曲张","Disease","complication","食管胃底静脉曲张及其破裂出血","Disease"
"食管胃底静脉曲张及其破裂出血","Disease","complication","心率加快","Complication"
"心率加快","Complication","complication","食管胃底静脉曲张及其破裂出血","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","炎症","Complication"
"炎症","Complication","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","呕吐","Disease"
"呕吐","Disease","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","静脉血栓","Symptom"
"静脉血栓","Symptom","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","坏死","Complication"
"坏死","Complication","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","穿孔","Complication"
"穿孔","Complication","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","肝硬化","Disease"
"肝硬化","Disease","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","血栓形成","Disease"
"血栓形成","Disease","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","静脉血栓形成","Disease"
"静脉血栓形成","Disease","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","肿瘤","Disease"
"肿瘤","Disease","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","血肿","Complication"
"血肿","Complication","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","食管黏膜损伤","Disease"
"食管黏膜损伤","Disease","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","出血","Disease"
"出血","Disease","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","刺激","Complication"
"刺激","Complication","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","无菌性炎症","Complication"
"无菌性炎症","Complication","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","溃疡","Disease"
"溃疡","Disease","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","硬化","Symptom"
"硬化","Symptom","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","食管","Complication"
"食管","Complication","complication","硬化剂治疗引起的食管损害","Disease"
"硬化剂治疗引起的食管损害","Disease","complication","食管肿瘤","Disease"
"食管肿瘤","Disease","complication","硬化剂治疗引起的食管损害","Disease"
"先天性肠闭锁","Disease","complication","食管","Complication"
"食管","Complication","complication","先天性肠闭锁","Disease"
"获得性免疫缺陷综合征的消化系统损害","Disease","complication","食管炎","Disease"
"食管炎","Disease","complication","获得性免疫缺陷综合征的消化系统损害","Disease"
"获得性免疫缺陷综合征的消化系统损害","Disease","complication","食管","Complication"
"食管","Complication","complication","获得性免疫缺陷综合征的消化系统损害","Disease"
"食管腐蚀性灼伤","Disease","complication","败血症","Disease"
"败血症","Disease","complication","食管腐蚀性灼伤","Disease"
"食管腐蚀性灼伤","Disease","complication","腹膜炎","Disease"
"腹膜炎","Disease","complication","食管腐蚀性灼伤","Disease"
"食管腐蚀性灼伤","Disease","complication","穿孔","Complication"
"穿孔","Complication","complication","食管腐蚀性灼伤","Disease"
"食管腐蚀性灼伤","Disease","complication","气胸","Disease"
"气胸","Disease","complication","食管腐蚀性灼伤","Disease"
"食管腐蚀性灼伤","Disease","complication","坏死","Complication"
"坏死","Complication","complication","食管腐蚀性灼伤","Disease"
"食管腐蚀性灼伤","Disease","complication","纵隔炎","Disease"
"纵隔炎","Disease","complication","食管腐蚀性灼伤","Disease"
"食管腐蚀性灼伤","Disease","complication","瘢痕","Disease"
"瘢痕","Disease","complication","食管腐蚀性灼伤","Disease"
"食管腐蚀性灼伤","Disease","complication","休克","Disease"
"休克","Disease","complication","食管腐蚀性灼伤","Disease"
"食管腐蚀性灼伤","Disease","complication","腹部压痛","Symptom"
"腹部压痛","Symptom","complication","食管腐蚀性灼伤","Disease"
"食管腐蚀性灼伤","Disease","complication","呼吸困难","Symptom"
"呼吸困难","Symptom","complication","食管腐蚀性灼伤","Disease"
"食管腐蚀性灼伤","Disease","complication","压痛","Symptom"
"压痛","Symptom","complication","食管腐蚀性灼伤","Disease"
"食管腐蚀性灼伤","Disease","complication","食管","Complication"
"食管","Complication","complication","食管腐蚀性灼伤","Disease"
"食管腐蚀性灼伤","Disease","complication","腹痛","Disease"
"腹痛","Disease","complication","食管腐蚀性灼伤","Disease"
"食管腐蚀性灼伤","Disease","complication","气管","Complication"
"气管","Complication","complication","食管腐蚀性灼伤","Disease"
"药物性食管炎","Disease","complication","假丝酵母菌病","Disease"
"假丝酵母菌病","Disease","complication","药物性食管炎","Disease"
"药物性食管炎","Disease","complication","食管","Complication"
"食管","Complication","complication","药物性食管炎","Disease"
"药物性食管炎","Disease","complication","炎症","Complication"
"炎症","Complication","complication","药物性食管炎","Disease"
"药物性食管炎","Disease","complication","出血","Disease"
"出血","Disease","complication","药物性食管炎","Disease"
"药物性食管炎","Disease","complication","穿孔","Complication"
"穿孔","Complication","complication","药物性食管炎","Disease"
"药物性食管炎","Disease","complication","感染","Disease"
"感染","Disease","complication","药物性食管炎","Disease"
"药物性食管炎","Disease","complication","食管炎","Disease"
"食管炎","Disease","complication","药物性食管炎","Disease"
"药物性食管炎","Disease","complication","溃疡","Disease"
"溃疡","Disease","complication","药物性食管炎","Disease"
"食管念珠菌感染","Disease","complication","溃疡","Disease"
"溃疡","Disease","complication","食管念珠菌感染","Disease"
"食管念珠菌感染","Disease","complication","假丝酵母菌病","Disease"
"假丝酵母菌病","Disease","complication","食管念珠菌感染","Disease"
"食管念珠菌感染","Disease","complication","穿孔","Complication"
"穿孔","Complication","complication","食管念珠菌感染","Disease"
"食管念珠菌感染","Disease","complication","肺炎","Disease"
"肺炎","Disease","complication","食管念珠菌感染","Disease"
"食管念珠菌感染","Disease","complication","食管","Complication"
"食管","Complication","complication","食管念珠菌感染","Disease"
"食管念珠菌感染","Disease","complication","吸入性肺炎","Disease"
"吸入性肺炎","Disease","complication","食管念珠菌感染","Disease"
"胀气","Disease","complication","食管癌","Disease"
"食管癌","Disease","complication","胀气","Disease"
"食管化学性烧伤","Disease","complication","喉水肿","Complication"
"喉水肿","Complication","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","肺脓肿","Disease"
"肺脓肿","Disease","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","气管","Complication"
"气管","Complication","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","水肿","Disease"
"水肿","Disease","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","食管炎","Disease"
"食管炎","Disease","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","破溃","Complication"
"破溃","Complication","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","坏死","Complication"
"坏死","Complication","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","穿孔","Complication"
"穿孔","Complication","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","肺炎","Disease"
"肺炎","Disease","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","出血","Disease"
"出血","Disease","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","支气管扩张","Disease"
"支气管扩张","Disease","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","胃穿孔","Disease"
"胃穿孔","Disease","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","食管","Complication"
"食管","Complication","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","瘢痕","Disease"
"瘢痕","Disease","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","急腹症","Disease"
"急腹症","Disease","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","气管食管瘘","Disease"
"气管食管瘘","Disease","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","纵隔炎","Disease"
"纵隔炎","Disease","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","腹膜炎","Disease"
"腹膜炎","Disease","complication","食管化学性烧伤","Disease"
"食管化学性烧伤","Disease","complication","吸入性肺炎","Disease"
"吸入性肺炎","Disease","complication","食管化学性烧伤","Disease"
"硬皮病","Disease","complication","食管炎","Disease"
"食管炎","Disease","complication","硬皮病","Disease"
"硬皮病","Disease","complication","食管","Complication"
"食管","Complication","complication","硬皮病","Disease"
"环状胰腺","Disease","complication","气管食管瘘","Disease"
"气管食管瘘","Disease","complication","环状胰腺","Disease"
"病毒性食管炎","Disease","complication","食管瘘及病毒扩散引起感染","Complication"
"食管瘘及病毒扩散引起感染","Complication","complication","病毒性食管炎","Disease"
"病毒性食管炎","Disease","complication","感染","Disease"
"感染","Disease","complication","病毒性食管炎","Disease"
"病毒性食管炎","Disease","complication","并发症有食管黏膜出血","Complication"
"并发症有食管黏膜出血","Complication","complication","病毒性食管炎","Disease"
"病毒性食管炎","Disease","complication","出血","Disease"
"出血","Disease","complication","病毒性食管炎","Disease"
"病毒性食管炎","Disease","complication","食管","Complication"
"食管","Complication","complication","病毒性食管炎","Disease"
"病毒性食管炎","Disease","complication","晚期合并症为食管狭窄","Complication"
"晚期合并症为食管狭窄","Complication","complication","病毒性食管炎","Disease"
"囊状淋巴管瘤","Disease","complication","食管","Complication"
"食管","Complication","complication","囊状淋巴管瘤","Disease"
